sku,warehouse_id,last_inventory_date,on_hand_qty,recent_sales_qty,last_sale_date,recent_orders_qty,last_order_date,warehouse_name,city,region,flag_stockout_risk,flag_excess_inventory,flag_order_backlog,flag_dead_stock
SKU-0025,WH-01,2026-07-28,134,0.0,,46.0,2026-09-01,North DC,Tabriz,Northwest,False,False,False,True
SKU-0001,WH-03,2026-08-11,47,53.0,2026-08-29,51.0,2026-08-16,East Hub,Mashhad,Northeast,False,False,True,False
SKU-0032,WH-08,2026-08-11,77,38.0,2026-08-29,0.0,,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0014,WH-05,2026-08-18,75,57.0,2026-08-13,48.0,2026-08-19,Central DC,Tehran,Central,False,False,False,False
SKU-0043,WH-01,2026-08-18,157,17.0,2026-08-17,0.0,,North DC,Tabriz,Northwest,False,True,False,False
SKU-0044,WH-01,2026-08-18,180,45.0,2026-08-14,77.0,2026-08-11,North DC,Tabriz,Northwest,False,False,False,False
SKU-0009,WH-05,2026-08-18,105,105.0,2026-08-29,0.0,,Central DC,Tehran,Central,False,False,False,False
SKU-0005,WH-08,2026-08-18,92,10.0,2026-08-08,0.0,,Border Hub,Zahedan,Southeast,False,True,False,False
SKU-0039,WH-02,2026-08-18,2,16.0,2026-08-03,50.0,2026-08-10,South DC,Shiraz,South,False,False,True,False
SKU-0030,WH-07,2026-08-18,82,44.0,2026-08-28,0.0,,Metro DC,Isfahan,Central,False,False,False,False
SKU-0028,WH-02,2026-08-18,57,32.0,2026-08-07,0.0,,South DC,Shiraz,South,False,False,False,False
SKU-0035,WH-08,2026-08-18,178,0.0,,0.0,,Border Hub,Zahedan,Southeast,False,False,False,True
SKU-0030,WH-04,2026-08-18,45,69.0,2026-09-01,0.0,,West Hub,Ahvaz,Southwest,False,False,False,False
SKU-0020,WH-06,2026-08-18,124,44.0,2026-08-28,0.0,,Coastal Hub,Bandar Abbas,South,False,False,False,False
SKU-0037,WH-01,2026-08-18,113,70.0,2026-08-13,0.0,,North DC,Tabriz,Northwest,False,False,False,False
SKU-0036,WH-03,2026-08-18,245,32.0,2026-08-25,0.0,,East Hub,Mashhad,Northeast,False,True,False,False
SKU-0028,WH-08,2026-08-25,131,77.0,2026-08-30,47.0,2026-08-04,Border Hub,Zahedan,Southeast,False,False,False,False
SKU-0014,WH-03,2026-08-25,44,18.0,2026-08-31,78.0,2026-08-19,East Hub,Mashhad,Northeast,False,False,True,False
SKU-0010,WH-04,2026-08-25,83,60.0,2026-08-21,0.0,,West Hub,Ahvaz,Southwest,False,False,False,False
SKU-0033,WH-03,2026-08-25,138,55.0,2026-08-28,33.0,2026-08-25,East Hub,Mashhad,Northeast,False,False,False,False
SKU-0008,WH-01,2026-08-25,149,39.0,2026-08-22,52.0,2026-08-22,North DC,Tabriz,Northwest,False,False,False,False
SKU-0029,WH-07,2026-08-25,127,21.0,2026-08-12,42.0,2026-08-22,Metro DC,Isfahan,Central,False,True,False,False
SKU-0029,WH-05,2026-08-25,161,15.0,2026-08-06,0.0,,Central DC,Tehran,Central,False,True,False,False
SKU-0027,WH-02,2026-08-25,108,73.0,2026-08-14,0.0,,South DC,Shiraz,South,False,False,False,False
SKU-0023,WH-01,2026-08-25,119,43.0,2026-09-01,45.0,2026-08-26,North DC,Tabriz,Northwest,False,False,False,False
SKU-0044,WH-04,2026-08-25,292,41.0,2026-08-30,41.0,2026-08-13,West Hub,Ahvaz,Southwest,False,True,False,False
SKU-0019,WH-01,2026-08-25,107,47.0,2026-08-22,90.0,2026-08-22,North DC,Tabriz,Northwest,False,False,False,False
SKU-0028,WH-05,2026-08-25,107,52.0,2026-08-28,51.0,2026-08-13,Central DC,Tehran,Central,False,False,False,False
SKU-0018,WH-07,2026-08-25,145,23.0,2026-08-06,46.0,2026-08-06,Metro DC,Isfahan,Central,False,True,False,False
SKU-0033,WH-05,2026-08-25,93,15.0,2026-08-20,0.0,,Central DC,Tehran,Central,False,True,False,False
