order_id,order_date,sku,warehouse_id,ordered_qty,status
ORD000157,2026-07-13,SKU-0020,WH-05,28.0,pending
ORD000571,2026-06-27,SKU-0014,WH-03,45.0,cancelled
ORD000750,2026-08-05,SKU-0036,WH-05,43.0,pending
ORD000660,2026-07-27,SKU-0042,WH-01,47.0,cancelled
ORD000671,2026-08-26,SKU-0022,WH-06,39.0,delivered
ORD000547,2026-08-16,SKU-0015,WH-06,44.0,pending
ORD000593,2026-07-24,SKU-0010,WH-01,53.0,delivered
ORD000727,2026-08-22,SKU-0007,WH-07,41.0,shipped
ORD000227,2026-08-10,SKU-0003,WH-04,42.0,cancelled
ORD000675,2026-08-13,SKU-0022,WH-06,41.0,pending
ORD000142,2026-07-24,SKU-0018,WH-04,28.0,cancelled
ORD000681,2026-08-03,SKU-0031,WH-05,33.0,delivered
ORD000370,2026-08-01,SKU-0029,WH-02,52.0,pending
ORD000062,2026-08-04,SKU-0028,WH-08,47.0,pending
ORD000430,2026-08-14,SKU-0021,WH-05,34.0,pending
ORD000494,2026-06-24,SKU-0037,WH-04,46.0,pending
ORD000068,2026-07-29,SKU-0044,WH-06,43.0,delivered
ORD000462,2026-07-06,SKU-0037,WH-03,52.0,cancelled
ORD000479,2026-07-16,SKU-0022,WH-01,48.0,shipped
ORD000743,2026-08-02,SKU-0029,WH-06,46.0,cancelled
ORD000232,2026-06-30,SKU-0015,WH-05,43.0,pending
ORD000703,2026-08-06,SKU-0027,WH-06,44.0,cancelled
ORD000099,2026-08-04,SKU-0019,WH-07,37.0,cancelled
ORD000456,2026-08-23,SKU-0012,WH-02,41.0,delivered
ORD000185,2026-07-28,SKU-0011,WH-08,48.0,cancelled
ORD000514,2026-07-25,SKU-0005,WH-04,40.0,delivered
ORD000568,2026-08-26,SKU-0011,WH-06,51.0,pending
ORD000209,2026-08-03,SKU-0033,WH-03,45.0,cancelled
ORD000338,2026-07-09,SKU-0028,WH-02,50.0,cancelled
ORD000443,2026-07-10,SKU-0045,WH-05,44.0,pending
ORD000077,2026-07-25,SKU-0038,WH-08,46.0,pending
ORD000018,2026-07-22,SKU-0020,WH-07,44.0,delivered
ORD000267,2026-07-13,SKU-0004,WH-04,44.0,pending
ORD000684,2026-07-29,SKU-0008,WH-07,47.0,cancelled
ORD000603,2026-08-29,SKU-0021,WH-05,38.0,delivered
ORD000141,2026-07-25,SKU-0004,WH-08,47.0,delivered
ORD000109,2026-08-21,SKU-0032,WH-06,37.0,cancelled
ORD000015,2026-06-25,SKU-0024,WH-01,45.0,delivered
ORD000225,2026-07-24,SKU-0024,WH-05,45.0,pending
ORD000437,2026-07-12,SKU-0001,WH-03,42.0,cancelled
ORD000172,2026-08-19,SKU-0001,WH-02,37.0,cancelled
ORD000520,2026-07-07,SKU-0023,WH-02,30.0,cancelled
ORD000037,2026-08-01,SKU-0010,WH-02,44.0,shipped
ORD000465,2026-07-05,SKU-0024,WH-02,44.0,cancelled
ORD000484,2026-08-19,SKU-0042,WH-04,44.0,delivered
ORD000183,2026-08-16,SKU-0020,WH-01,49.0,cancelled
ORD000129,2026-07-28,SKU-0018,WH-07,37.0,pending
ORD000030,2026-08-17,SKU-0021,WH-06,46.0,shipped
ORD000490,2026-06-24,SKU-0014,WH-02,39.0,cancelled
ORD000372,2026-07-30,SKU-0030,WH-08,32.0,delivered
ORD000022,2026-06-28,SKU-0043,WH-04,43.0,shipped
ORD000470,2026-08-13,SKU-0028,WH-05,51.0,pending
ORD000067,2026-07-15,SKU-0040,WH-04,31.0,delivered
ORD000199,2026-08-19,SKU-0014,WH-05,48.0,shipped
ORD000197,2026-08-19,SKU-0014,WH-03,41.0,pending
ORD000690,2026-08-09,SKU-0041,WH-05,52.0,cancelled
ORD000176,2026-06-24,SKU-0018,WH-04,55.0,delivered
ORD000512,2026-07-29,SKU-0004,WH-08,45.0,pending
ORD000451,2026-08-20,SKU-0022,WH-01,51.0,cancelled
ORD000226,2026-07-05,SKU-0024,WH-02,37.0,pending
ORD000334,2026-07-02,SKU-0018,WH-04,63.0,cancelled
ORD000330,2026-08-21,SKU-0017,WH-08,42.0,delivered
ORD000583,2026-08-20,SKU-0017,WH-07,44.0,shipped
ORD000107,2026-08-15,SKU-0020,WH-02,45.0,cancelled
ORD000695,2026-08-12,SKU-0019,WH-01,46.0,delivered
ORD000614,2026-06-29,SKU-0040,WH-04,41.0,pending
ORD000640,2026-07-04,SKU-0045,WH-01,53.0,delivered
ORD000089,2026-07-18,SKU-0030,WH-05,44.0,delivered
ORD000344,2026-07-07,SKU-0045,WH-04,32.0,pending
ORD000546,2026-07-27,SKU-0009,WH-05,35.0,cancelled
ORD000074,2026-07-02,SKU-0023,WH-03,36.0,delivered
ORD000174,2026-06-24,SKU-0018,WH-07,54.0,delivered
ORD000595,2026-07-19,SKU-0025,WH-01,45.0,cancelled
