snapshot_date,sku,warehouse_id,on_hand_qty
2026-08-18,SKU-0033,WH-99,258
2026-07-14,SKU-0018,WH-09,63
,SKU-0045,WH-09,113
2026-06-30,SKU-0005,WH-09,88
2026-08-18,SKU-0024,WH-99,230
,SKU-0008,WH-09,129
2026-07-07,SKU-0031,WH-09,147
2026-09-01,SKU-0039,WH-09,86
2026-07-14,SKU-0021,WH-99,56
2026-08-25,SKU-0030,WH-09,125
2026-07-14,SKU-0034,WH-09,171
,SKU-0033,WH-99,113
,SKU-0006,WH-99,153
,SKU-0027,WH-99,139
2026-08-18,SKU-0009,WH-99,136
2026-07-28,SKU-0039,WH-09,179
2026-08-11,SKU-0018,WH-99,71
2026-08-25,SKU-0028,WH-99,143
2026-07-07,SKU-0027,WH-99,213
2026-08-18,SKU-0036,WH-09,166
,SKU-0031,WH-09,56
2026-07-14,SKU-0005,WH-99,-5
,SKU-0043,WH-09,54
2026-08-25,SKU-0028,WH-99,143
2026-07-14,SKU-0041,WH-09,104
2026-09-01,SKU-0004,WH-09,177
2026-07-14,SKU-0013,WH-99,228
2026-08-25,SKU-0043,WH-99,111
2026-08-04,SKU-0021,WH-99,206
2026-07-14,SKU-0035,WH-99,115
2026-08-18,SKU-0013,WH-09,209
2026-06-30,SKU-0030,WH-09,82
2026-08-18,SKU-0002,WH-09,58
,SKU-0029,WH-09,141
2026-07-28,SKU-0019,WH-99,158
2026-07-28,SKU-0009,WH-09,215
2026-06-30,SKU-0017,WH-99,131
2026-06-30,SKU-0038,WH-09,170
2026-07-28,SKU-0018,WH-09,136
2026-08-25,SKU-0041,WH-99,185
2026-06-30,SKU-0043,WH-99,190
2026-08-04,SKU-0016,WH-09,174
2026-08-11,SKU-0030,WH-99,145
2026-07-28,SKU-0003,WH-09,106
2026-08-18,SKU-0039,WH-99,55
2026-06-30,SKU-0005,WH-99,175
2026-09-01,SKU-0009,WH-09,92
2026-07-21,SKU-0009,WH-99,156
2026-07-21,SKU-0043,WH-99,67
2026-09-01,SKU-0001,WH-09,108
2026-07-14,SKU-0019,WH-09,63
2026-08-11,SKU-0011,WH-99,143
2026-08-25,SKU-0013,WH-99,-35
2026-07-14,SKU-0010,WH-99,200
2026-07-07,SKU-0003,WH-09,119
2026-07-14,SKU-0009,WH-09,30
2026-09-01,SKU-0027,WH-99,30
2026-07-07,SKU-0022,WH-99,223
2026-08-11,SKU-0033,WH-09,99
2026-07-14,SKU-0026,WH-99,25
2026-08-11,SKU-0012,WH-99,176
2026-07-21,SKU-0028,WH-99,197
2026-08-25,SKU-0031,WH-99,143
2026-07-21,SKU-0040,WH-99,168
2026-07-28,SKU-0040,WH-99,187
2026-08-04,SKU-0040,WH-99,39
,SKU-0038,WH-09,79
2026-06-30,SKU-0003,WH-09,151
2026-07-14,SKU-0030,WH-09,89
