order_id,order_date,sku,warehouse_id,ordered_qty,status
ORD000146,2026-08-23,SKU-0017,WH-99,53.0,cancelled
ORD000213,2026-08-30,SKU-0003,WH-99,47.0,cancelled
ORD000295,,SKU-0010,WH-99,42.0,delivered
ORD000103,2026-08-06,SKU-0002,WH-09,35.0,pending
ORD000235,2026-06-29,SKU-0045,WH-09,-41.0,cancelled
ORD000322,2026-07-10,SKU-0002,WH-09,46.0,pending
ORD000150,,SKU-0045,WH-99,-50.0,cancelled
ORD000398,2026-08-19,SKU-0001,WH-99,48.0,cancelled
ORD000106,2026-07-22,SKU-0017,WH-09,42.0,pending
ORD000303,2026-07-21,SKU-0043,WH-09,43.0,delivered
ORD000500,2026-08-13,SKU-0031,WH-99,41.0,pending
ORD000422,2026-08-05,SKU-0009,WH-99,34.0,pending
ORD000208,2026-07-20,SKU-0012,WH-99,,pending
ORD000442,2026-07-27,SKU-0022,WH-99,50.0,pending
