transaction_id,sale_date,sku,warehouse_id,quantity,revenue
TXN000661,2026-08-07,SKU-0033,WH-09,22.0,452.74
TXN000890,2026-08-12,SKU-0015,WH-09,20.0,403.46
TXN000991,2026-07-08,SKU-0024,WH-09,15.0,178.13
TXN001546,2026-08-02,SKU-0015,WH-09,25.0,202.2
TXN000462,2026-06-29,SKU-0005,WH-99,19.0,389.87
TXN000899,,SKU-0017,WH-09,8.0,116.47
TXN001443,2026-08-13,SKU-0014,WH-99,27.0,67.55
TXN001386,2026-08-11,SKU-0003,WH-09,25.0,592.14
TXN000094,2026-08-05,SKU-0029,WH-09,15.0,160.61
TXN000490,2026-07-25,SKU-0038,WH-09,18.0,552.71
TXN000916,2026-08-03,SKU-0010,WH-99,14.0,238.62
TXN000490,2026-07-25,SKU-0038,WH-09,18.0,552.71
TXN000774,2026-07-28,SKU-0024,WH-09,16.0,204.41
TXN000925,2026-06-27,SKU-0026,WH-99,19.0,606.63
TXN000495,2026-08-31,SKU-0026,WH-99,15.0,277.54
TXN000439,2026-07-30,SKU-0004,WH-99,21.0,435.51
TXN001162,2026-08-06,SKU-0019,WH-99,19.0,468.83
TXN000066,2026-08-28,SKU-0037,WH-99,12.0,286.15
TXN000113,2026-06-30,SKU-0027,WH-99,20.0,344.36
TXN001365,2026-08-13,SKU-0015,WH-09,16.0,386.41
TXN001253,2026-07-31,SKU-0033,WH-09,19.0,289.73
TXN001685,,SKU-0039,WH-09,22.0,618.64
TXN001797,2026-07-04,SKU-0019,WH-99,11.0,370.57
TXN000036,2026-08-27,SKU-0030,WH-99,13.0,476.44
TXN000063,,SKU-0010,WH-99,15.0,38.43
TXN001111,2026-07-09,SKU-0004,WH-99,19.0,408.51
TXN000252,2026-08-25,SKU-0001,WH-99,15.0,191.95
