SnapshotDate,SKU,WarehouseID,OnHandQty
2026-07-28,SKU-0020,WH-07,136
2026-07-14,SKU-0015,WH-04,53
2026-08-25,SKU-0022,WH-06,184
2026-08-18,SKU-0019,wh-01,106
2026-07-14,SKU-0013,WH-04,199
2026-07-07,SKU-0020,WH-05,77
07/21/2026,SKU-0020,WH-08,143
2026-07-21,SKU-0014,WH-05,83
2026-07-28,SKU-0025,WH-03,129
2026-08-11,SKU-0013,WH-07,233
2026-08-04,SKU-0028,WH-01,125
2026-07-21,SKU-0006,WH-05,53
2026-08-11,SKU-0024,WH-02,200
2026-07-21,SKU-0019,WH-07,51
11-Aug-2026,SKU-0038,WH-01,39
2026-07-14,SKU-0019,WH-05,215
2026-07-28,SKU-0031,WH-03,48
2026-07-21,SKU-0012,WH-05,193
2026-08-25,SKU-0008,WH-02,100
2026-06-30,SKU-0011,WH-06,125
2026-08-04,SKU-0022,WH-04,110
2026-07-14,SKU-0027,WH-08,172
,SKU-0010,WH-04,179
08/11/2026,SKU-0009,WH-03,102
2026-07-14,SKU-0038,WH-08,132
2026-08-18,SKU-0033,WH-99,258
2026-07-07,SKU-0042,WH-02,150
2026-07-28,SKU-0032,WH-04,115
2026-08-04,SKU-0008,WH-08,202
2026-08-18,SKU-0001,WH-05,144
2026-07-28,SKU-0035,WH-02,153
2026-07-14,SKU-0018,WH-09,63
18-Aug-2026,SKU-0045,WH-09,113
2026-06-30,SKU-0025,WH-08,157
07/21/2026,SKU-0003,WH-06,-24
2026-08-18,SKU-0008,WH-08,73
2026-08-04,SKU-0028,WH-03,168
,SKU-0028,WH-07,107
2026-06-30,SKU-0002,WH-05,107
2026-08-11,SKU-0032,WH-05,135
2026-09-01,SKU-0042,WH-04,119
2026-07-28,SKU-0003,WH-01,144
2026-06-30,SKU-0003,WH-06,91
2026-07-21,SKU-0015,WH-02,112
2026-07-21,SKU-0003,WH-07,134
2026-09-01,SKU-0045,WH-05,198
07/14/2026,SKU-0004,WH-05,144
2026-08-04,SKU-0020,WH-05,107
25-Aug-2026,SKU-0032,WH-08,166
2026-08-11,SKU-0032,WH-04,196
2026-06-30,SKU-0005,WH-09,88
2026-08-25,SKU-0022,WH-08,120
2026-07-21,SKU-0017,WH-02,122
2026-07-21,SKU-0045,WH-03,183
07/21/2026,SKU-0024,WH-06,129
2026-07-14,SKU-0015,WH-05,133
2026-08-25,SKU-0028,WH-04,61
2026-07-07,SKU-0021,WH-05,56
2026-07-21,SKU-0027,WH-01,17
2026-09-01,SKU-0028,WH-01,111
2026-08-11,SKU-0031,WH-03,193
2026-07-14,SKU-0035,WH-07,251
2026-09-01,SKU-0029,WH-04,86
2026-08-04,SKU-0034,WH-02,145
2026-08-18,SKU-0001,WH-06,177
2026-08-25,SKU-0027,WH-05,89
21-Jul-2026,SKU-0041,WH-06,168
2026-09-01,SKU-0004,WH-07,101
2026-08-11,SKU-0018,WH-06,51
08/25/2026,SKU-0001,WH-06,8
2026-08-25,SKU-0010,WH-05,158
2026-07-14,SKU-0031,WH-01,117
2026-07-07,SKU-0015,WH-05,41
,SKU-0044,WH-04,28
2026-06-30,SKU-0018,WH-07,171
2026-08-25,SKU-0026,WH-02,39
2026-06-30,SKU-0007,WH-01,20
2026-08-11,SKU-0045,WH-02,79
2026-07-14,SKU-0019,WH-04,86
2026-08-04,SKU-0001,WH-06,157
2026-07-21,SKU-0005,WH-02,132
2026-08-04,SKU-0030,WH-02,186
21-Jul-2026,SKU-0005,WH-08,17
2026-07-21,SKU-0033,WH-06,114
18-Aug-2026,SKU-0005,WH-05,91
2026-07-21,SKU-0015,wh-01,219
2026-08-25,SKU-0005,WH-01,47
2026-08-25,SKU-0007,WH-04,184
2026-07-14,SKU-0012,WH-01,34
2026-08-11,SKU-0040,WH-06,21
2026-08-04,SKU-0012,WH-05,75
2026-07-21,SKU-0016,WH-08,27
2026-07-14,SKU-0014,WH-06,94
2026-09-01,SKU-0045,WH-04,62
2026-09-01,SKU-0028,WH-04,88
,SKU-0016,WH-06,180
2026-07-28,SKU-0034,WH-02,208
2026-07-21,SKU-0016,WH-03,103
2026-06-30,SKU-0015,WH-06,136
2026-08-18,SKU-0010,WH-06,52
2026-08-11,SKU-0008,WH-03,22
2026-08-11,SKU-0017,WH-06,86
2026-08-25,SKU-0015,wh-01,100
2026-07-14,SKU-0033,WH-05,86
2026-08-04,SKU-0005,Wh-01,58
2026-08-25,SKU-0033,WH-03,138
2026-07-07,SKU-0015,WH-02,134
2026-07-14,SKU-0025,WH_05,94
2026-07-07,SKU-0028,WH-03,139
2026-08-11,SKU-0006,WH-07,122
2026-07-21,SKU-0015,WH-04,99
2026-06-30,SKU-0025,WH_05,114
2026-08-04,SKU-0035,WH-04,167
2026-06-30,SKU-0033,WH-07,181
2026-07-28,SKU-0010,WH-04,187
2026-07-14,SKU-0017,WH-01,179
2026-07-28,SKU-0015,WH-01,166
2026-07-07,SKU-0039,WH-01,-6
2026-07-07,SKU-0021,WH-06,88
2026-07-28,SKU-0037,WH-03,169
2026-08-11,SKU-0019,WH-08,78
2026-09-01,SKU-0024,WH-05,75
2026-08-25,SKU-0023,WH-01,119
2026-08-25,SKU-0027,WH-02,108
2026-08-04,SKU-0013,WH-08,171
2026-07-28,SKU-0015,WH-02,244
2026-09-01,SKU-0009,WH-07,97
2026-08-18,SKU-0011,WH-06,220
2026-07-28,SKU-0017,WH-05,139
2026-07-07,SKU-0033,WH-01,189
2026-08-04,SKU-0020,WH-06,99
,SKU-0020,WH-08,60
2026-06-30,SKU-0042,WH-04,157
2026-07-21,SKU-0029,WH-04,126
28-Jul-2026,SKU-0004,WH-01,122
2026-08-04,SKU-0021,WH-08,115
2026-06-30,SKU-0004,WH-05,94
28-Jul-2026,SKU-0036,WH-08,48
2026-08-18,SKU-0024,WH-99,230
2026-07-21,SKU-0043,WH-06,158
2026-08-18,SKU-0038,WH-01,78
08/25/2026,SKU-0003,WH-02,101
2026-08-18,SKU-0012,WH-02,155
2026-07-07,SKU-0025,WH-06,108
2026-07-07,SKU-0010,WH-01,132
2026-08-04,SKU-0002,WH-03,106
07/14/2026,SKU-0009,WH-04,153
2026-07-28,SKU-0028,WH-01,90
2026-07-21,SKU-0033,WH-07,138
2026-07-14,SKU-0037,WH-04,131
2026-08-04,SKU-0044,WH-06,64
2026-06-30,SKU-0004,WH-06,120
2026-08-18,SKU-0027,WH-03,161
2026-07-07,SKU-0041,WH-07,100
09/01/2026,SKU-0008,WH-09,129
2026-07-21,SKU-0011,WH-05,115
2026-09-01,SKU-0031,WH-05,179
2026-07-28,SKU-0024,WH-02,311
2026-08-18,SKU-0022,WH-08,142
2026-07-21,SKU-0045,WH-07,107
2026-09-01,SKU-0034,WH-06,131
2026-06-30,SKU-0043,WH-05,168
2026-07-21,SKU-0039,WH-04,60
25-Aug-2026,SKU-0040,WH-07,137
2026-08-11,SKU-0044,WH-02,146
