OrderID,Order Date,Sku,WarehouseID,OrderedQty,Status
ORD000157,2026-07-13,SKU-0020,WH-05,28,PENDING
ORD000571,2026-06-27,SKU-0014,WH-03,45,Cancelled
ORD000750,2026-08-05,SKU-0036,WH-05,43,PENDING
ORD000660,2026-07-27,SKU-0042,WH-01,47,cancelled
ORD000671,2026-08-26,SKU-0022,WH-06,39,delivered
ORD000547,2026-08-16,SKU-0015,WH-06,44,PENDING
ORD000593,2026-07-24,SKU-0010,WH-01,53,Delivered
ORD000727,2026-08-22,SKU-0007,WH-07,41,Shipped
ORD000182,07/02/2026,SKU-0027,WH-07,50,delivered
ORD000227,2026-08-10,SKU-0003,WH-04,42,Cancelled
ORD000675,2026-08-13,SKU-0022,WH-06,41,pending 
ORD000142,2026-07-24,SKU-0018,WH-04,28,CANCELLED
ORD000681,2026-08-03,SKU-0031,WH-05,33,delivered
ORD000370,2026-08-01,SKU-0029,WH-02,52,pending 
ORD000062,2026-08-04,SKU-0028,WH-08,47,pending 
ORD000430,2026-08-14,SKU-0021,WH-05,34,PENDING
ORD000494,2026-06-24,SKU-0037,WH-04,46,pending 
ORD000068,2026-07-29,SKU-0044,WH-06,43,Delivered
ORD000462,2026-07-06,SKU-0037,WH-03,52,Cancelled
ORD000479,2026-07-16,SKU-0022,WH-01,48,Shipped
ORD000743,2026-08-02,SKU-0029,WH-06,46,Cancelled
ORD000232,2026-06-30,SKU-0015,WH-05,43,Pending
ORD000703,2026-08-06,SKU-0027,WH-06,44,CANCELLED
ORD000099,2026-08-04,SKU-0019,WH-07,37,CANCELLED
ORD000456,2026-08-23,SKU-0012,WH-02,41,delivered
ORD000185,2026-07-28,SKU-0011,WH-08,48,Cancelled
ORD000514,2026-07-25,SKU-0005,WH-04,40,Delivered
ORD000020,27-Aug-2026,SKU-0044,WH-06,32,PENDING
ORD000568,2026-08-26,SKU-0011,WH-06,51,pending 
ORD000209,2026-08-03,SKU-0033,WH-03,45,Cancelled
ORD000338,2026-07-09,SKU-0028,WH-02,50,Cancelled
ORD000443,2026-07-10,SKU-0045,WH-05,44,pending 
ORD000178,2026-08-02,SKU-0034,Wh-01,-40,Pending
ORD000077,2026-07-25,SKU-0038,WH-08,46,pending 
ORD000488,08/21/2026,SKU-0018,WH-08,,CANCELLED
ORD000427,31-Jul-2026,SKU-0026,WH-05,51,delivered
ORD000018,2026-07-22,SKU-0020,WH-07,44,Delivered
ORD000267,2026-07-13,SKU-0004,WH-04,44,PENDING
ORD000684,2026-07-29,SKU-0008,WH-07,47,Cancelled
ORD000603,2026-08-29,SKU-0021,WH-05,38,delivered
ORD000141,2026-07-25,SKU-0004,WH-08,47,delivered
ORD000109,2026-08-21,SKU-0032,WH-06,37,cancelled
ORD000015,2026-06-25,SKU-0024,wh-01,45,Delivered
ORD000225,2026-07-24,SKU-0024,WH-05,45,pending 
ORD000437,2026-07-12,SKU-0001,WH-03,42,cancelled
ORD000172,2026-08-19,SKU-0001,WH-02,37,CANCELLED
ORD000520,2026-07-07,SKU-0023,WH-02,30,cancelled
ORD000037,2026-08-01,SKU-0010,WH-02,44,shiped
ORD000465,2026-07-05,SKU-0024,WH-02,44,cancelled
ORD000484,2026-08-19,SKU-0042,WH-04,44,Delivered
ORD000183,2026-08-16,SKU-0020,WH-01,49,Cancelled
ORD000129,2026-07-28,SKU-0018,WH-07,37,Pending
ORD000030,2026-08-17,SKU-0021,WH-06,46,Shipped
ORD000515,08/02/2026,SKU-0023,Wh-01,40,CANCELLED
ORD000490,2026-06-24,SKU-0014,WH-02,39,cancelled
ORD000372,2026-07-30,SKU-0030,WH-08,32,delivered
ORD000022,2026-06-28,SKU-0043,WH-04,43,Shipped
ORD000470,2026-08-13,SKU-0028,WH-05,51,Pending
ORD000067,2026-07-15,SKU-0040,WH-04,31,Delivered
